#mpa_vJan25_CHOCOPhlAnSGB_202503
#clade_name	relative_abundance
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003218945	0.024479851969443793
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__IMCC26256;f__JACDBD01;g__JALZAA01;s__	0.01591706950566731
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__;s__	0.015591486621418117
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__AV69;s__AV69 sp003219175	0.01478819260569412
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__PALSA-612;s__	0.01262000964289927
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Jatrophihabitantaceae;g__WQZC01;s__	0.012071210545431194
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003217875	0.011210572237139291
d__Bacteria;p__Desulfobacterota_B;c__Binatia;o__Binatales;f__Binataceae;g__JAFAHS01;s__	0.007502150011156837
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Terrimicrobiaceae;g__Terrimicrobium;s__	0.006516396882716773
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Palsa-504;s__	0.006409764933726862
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__	0.005186104079095974
d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__HRBIN12;g__AC-51;s__	0.004611239394097032
d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__Bradyrhizobium sp000472925	0.004270491077102606
d__Bacteria;p__Methylomirabilota;c__Methylomirabilia;o__Rokubacteriales;f__CSP1-6;g__CAMLFJ01;s__	0.00400225248542132
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003219945	0.003922160043735565
d__Bacteria;p__Acidobacteriota;c__Polarisedimenticolia;o__Polarisedimenticolales;f__;g__;s__	0.002487130970218009
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__JAIRTY01;s__	0.002426469239237082
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__JAICJC01;g__JAICJC01;s__JAICJC01 sp025928655	0.0019084749270327594
d__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__JAICJC01;g__JAICJC01;s__	0.0016023227534883934
d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__JARBAU01;s__	0.001113237547454669
d__Bacteria;p__Acidobacteriota;c__Terriglobia;o__Bryobacterales;f__Bryobacteraceae;g__Bog-105;s__	0.0009511569849900046
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__Udaeobacter sp003217895	0.0008677471048912299
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__	0.0007701196315938005
d__Bacteria;p__Actinomycetota;c__UBA4738;o__UBA4738;f__UBA4738;g__AC-55;s__AC-55 sp005888465	0.0006312611380202721
d__Bacteria;p__Actinomycetota;c__CALGFH01;o__CALGFH01;f__CALGFH01;g__;s__	0.0005303162263098232
