Acidobacteriota	1.5169e-05
Bacteria_unclassified	0.00205636
Acidobacteriota	0.000847934
Acidobacteriota	0.000747415
Acidobacteriota	1.5169e-05
Bacteria_unclassified	0.00205636
Acidobacteriota	0.000847934
Acidobacteriota	0.000747415
Acidobacteriota	1.5169e-05
Bacteria_unclassified	0.00205636
Acidobacteriota	0.000847934
Acidobacteriota	0.000747415
Acidobacteriota	1.5169e-05
Bacteria_unclassified	0.00205636
Acidobacteriota	0.000847934
Acidobacteriota	0.000747415
Acidobacteriota	1.5169e-05
Nitrospirota	0.000120092
Nitrospirota	0.000120092
Nitrospirota	0.000120092
Nitrospirota	0.000120092
Nitrospirota	0.000120092
Nitrospirota	0.000120092
Gemmatimonadota	0.00246355
Gemmatimonadota	0.00246355
Gemmatimonadota	0.00246355
Gemmatimonadota	0.00246355
Gemmatimonadota	0.00246355
Pseudomonadota	0.000175648
Pseudomonadota	9.99585e-05
Gemmatimonadota	0.00246355
Pseudomonadota	0.000175648
Pseudomonadota	9.99585e-05
Gemmatimonadota	0.00246355
Pseudomonadota	0.000175648
Pseudomonadota	9.99585e-05
