Wavelength (nm),Absorbance
1152.0,0.085
1153.0,0.084
1154.0,0.085
1155.0,0.085
1156.0,0.085
1157.0,0.084
1158.0,0.085
1159.0,0.085
1160.0,0.085
1161.0,0.085
1162.0,0.084
1163.0,0.085
1164.0,0.085
1165.0,0.084
1166.0,0.084
1167.0,0.084
1168.0,0.084
1169.0,0.084
1170.0,0.084
1171.0,0.084
1172.0,0.084
1173.0,0.083
1174.0,0.083
1175.0,0.083
1176.0,0.083
1177.0,0.083
1178.0,0.082
1179.0,0.082
1180.0,0.082
1181.0,0.082
1182.0,0.082
1183.0,0.082
1184.0,0.082
1185.0,0.081
1186.0,0.081
1187.0,0.081
1188.0,0.081
1189.0,0.081
1190.0,0.081
1191.0,0.080
1192.0,0.080
1193.0,0.080
1194.0,0.079
1195.0,0.079
1196.0,0.079
1197.0,0.079
1198.0,0.079
1199.0,0.078
1200.0,0.078
1201.0,0.079
1202.0,0.078
1203.0,0.078
1204.0,0.078
1205.0,0.078
1206.0,0.078
1207.0,0.077
1208.0,0.077
1209.0,0.077
1210.0,0.076
1211.0,0.076
1212.0,0.076
1213.0,0.077
1214.0,0.077
1215.0,0.077
1216.0,0.076
1217.0,0.076
1218.0,0.075
1219.0,0.074
1220.0,0.074
1221.0,0.074
1222.0,0.074
1223.0,0.073
1224.0,0.073
1225.0,0.074
1226.0,0.073
1227.0,0.073
1228.0,0.072
1229.0,0.072
1230.0,0.072
1231.0,0.072
1232.0,0.072
1233.0,0.071
1234.0,0.071
1235.0,0.070
1236.0,0.070
1237.0,0.070
1238.0,0.070
1239.0,0.070
1240.0,0.070
1241.0,0.069
1242.0,0.068
1243.0,0.068
1244.0,0.068
1245.0,0.067
1246.0,0.067
1247.0,0.067
1248.0,0.067
1249.0,0.067
1250.0,0.066
1251.0,0.066
1252.0,0.066
1253.0,0.066
1254.0,0.066
1255.0,0.066
1256.0,0.065
1257.0,0.065
1258.0,0.065
1259.0,0.065
1260.0,0.064
1261.0,0.064
1262.0,0.063
1263.0,0.063
1264.0,0.063
1265.0,0.063
1266.0,0.062
1267.0,0.062
1268.0,0.062
1269.0,0.062
1270.0,0.062
1271.0,0.062
