Wavelength (nm),Absorbance
762.0,0.452
763.0,0.451
764.0,0.450
765.0,0.449
766.0,0.448
767.0,0.447
768.0,0.447
769.0,0.446
770.0,0.446
771.0,0.445
772.0,0.445
773.0,0.446
774.0,0.446
775.0,0.445
776.0,0.445
777.0,0.444
778.0,0.444
779.0,0.443
780.0,0.444
781.0,0.444
782.0,0.444
783.0,0.443
784.0,0.443
785.0,0.444
786.0,0.444
787.0,0.444
788.0,0.445
789.0,0.445
790.0,0.445
791.0,0.446
792.0,0.447
793.0,0.447
794.0,0.448
795.0,0.448
796.0,0.448
797.0,0.450
798.0,0.451
799.0,0.452
800.0,0.452
801.0,0.453
802.0,0.454
803.0,0.455
804.0,0.456
805.0,0.457
806.0,0.459
807.0,0.460
808.0,0.462
809.0,0.463
810.0,0.464
811.0,0.465
812.0,0.466
813.0,0.469
814.0,0.470
815.0,0.472
816.0,0.473
817.0,0.476
818.0,0.477
819.0,0.479
820.0,0.480
821.0,0.481
822.0,0.482
823.0,0.484
824.0,0.486
825.0,0.489
826.0,0.490
827.0,0.492
828.0,0.494
829.0,0.497
830.0,0.498
831.0,0.501
832.0,0.503
833.0,0.505
834.0,0.507
835.0,0.508
836.0,0.511
837.0,0.513
838.0,0.515
839.0,0.517
840.0,0.520
841.0,0.522
842.0,0.524
843.0,0.527
844.0,0.530
845.0,0.531
846.0,0.533
847.0,0.536
848.0,0.539
849.0,0.541
850.0,0.543
851.0,0.546
852.0,0.548
853.0,0.550
854.0,0.553
855.0,0.555
856.0,0.557
857.0,0.558
858.0,0.561
859.0,0.563
860.0,0.565
861.0,0.567
862.0,0.569
863.0,0.572
864.0,0.574
865.0,0.576
866.0,0.577
867.0,0.579
868.0,0.581
869.0,0.583
870.0,0.584
871.0,0.585
872.0,0.587
873.0,0.588
874.0,0.589
875.0,0.590
876.0,0.591
877.0,0.593
878.0,0.594
879.0,0.595
880.0,0.596
881.0,0.597
882.0,0.598
883.0,0.598
884.0,0.599
885.0,0.599
886.0,0.599
887.0,0.599
888.0,0.600
889.0,0.599
890.0,0.598
891.0,0.598
892.0,0.597
893.0,0.597
894.0,0.596
895.0,0.595
896.0,0.595
897.0,0.593
898.0,0.592
899.0,0.591
900.0,0.590
901.0,0.588
902.0,0.586
903.0,0.584
904.0,0.582
905.0,0.579
906.0,0.576
907.0,0.573
908.0,0.571
909.0,0.568
910.0,0.565
911.0,0.562
912.0,0.559
913.0,0.555
914.0,0.552
915.0,0.548
916.0,0.545
917.0,0.542
918.0,0.538
919.0,0.534
920.0,0.529
921.0,0.525
922.0,0.521
923.0,0.516
924.0,0.511
925.0,0.507
926.0,0.503
927.0,0.498
928.0,0.494
929.0,0.489
930.0,0.484
931.0,0.479
932.0,0.474
933.0,0.469
934.0,0.464
935.0,0.459
936.0,0.454
937.0,0.449
938.0,0.444
939.0,0.439
940.0,0.434
941.0,0.429
942.0,0.424
943.0,0.418
944.0,0.413
945.0,0.408
946.0,0.403
947.0,0.398
948.0,0.394
949.0,0.389
950.0,0.384
951.0,0.379
952.0,0.375
953.0,0.370
954.0,0.365
955.0,0.361
956.0,0.356
957.0,0.352
958.0,0.348
959.0,0.344
960.0,0.340
961.0,0.335
962.0,0.331
963.0,0.327
964.0,0.323
965.0,0.319
966.0,0.316
967.0,0.312
968.0,0.309
969.0,0.305
970.0,0.302
971.0,0.299
972.0,0.296
973.0,0.292
974.0,0.289
975.0,0.286
976.0,0.283
977.0,0.279
978.0,0.276
979.0,0.273
980.0,0.270
981.0,0.267
982.0,0.264
983.0,0.262
984.0,0.259
985.0,0.257
986.0,0.254
987.0,0.251
988.0,0.249
989.0,0.246
990.0,0.244
991.0,0.242
992.0,0.239
993.0,0.237
994.0,0.235
995.0,0.233
996.0,0.231
997.0,0.229
998.0,0.227
999.0,0.225
1000.0,0.223
1001.0,0.221
1002.0,0.219
1003.0,0.217
1004.0,0.215
1005.0,0.213
1006.0,0.212
1007.0,0.210
1008.0,0.208
1009.0,0.206
1010.0,0.205
1011.0,0.203
1012.0,0.202
1013.0,0.200
1014.0,0.198
1015.0,0.197
1016.0,0.195
1017.0,0.194
1018.0,0.192
1019.0,0.191
1020.0,0.190
1021.0,0.188
1022.0,0.187
1023.0,0.185
1024.0,0.184
1025.0,0.183
1026.0,0.182
1027.0,0.181
1028.0,0.180
1029.0,0.178
1030.0,0.177
1031.0,0.176
1032.0,0.175
1033.0,0.174
1034.0,0.173
1035.0,0.172
1036.0,0.171
1037.0,0.170
1038.0,0.168
1039.0,0.167
1040.0,0.167
1041.0,0.166
1042.0,0.165
1043.0,0.164
1044.0,0.163
1045.0,0.162
1046.0,0.162
1047.0,0.161
1048.0,0.160
1049.0,0.159
1050.0,0.158
1051.0,0.157
1052.0,0.156
1053.0,0.155
1054.0,0.154
1055.0,0.154
1056.0,0.153
1057.0,0.152
1058.0,0.151
1059.0,0.151
1060.0,0.150
1061.0,0.149
1062.0,0.149
1063.0,0.148
1064.0,0.147
1065.0,0.146
1066.0,0.146
1067.0,0.145
1068.0,0.145
1069.0,0.144
1070.0,0.143
1071.0,0.143
1072.0,0.142
1073.0,0.142
1074.0,0.141
1075.0,0.140
1076.0,0.140
1077.0,0.139
1078.0,0.139
1079.0,0.138
1080.0,0.138
1081.0,0.137
1082.0,0.136
1083.0,0.136
1084.0,0.135
1085.0,0.135
1086.0,0.134
1087.0,0.134
1088.0,0.133
1089.0,0.133
1090.0,0.132
1091.0,0.132
1092.0,0.131
1093.0,0.131
1094.0,0.130
1095.0,0.130
1096.0,0.129
1097.0,0.129
1098.0,0.129
1099.0,0.128
1100.0,0.128
1101.0,0.127
1102.0,0.127
1103.0,0.126
1104.0,0.126
1105.0,0.125
1106.0,0.124
1107.0,0.124
1108.0,0.124
1109.0,0.123
1110.0,0.123
1111.0,0.122
1112.0,0.122
1113.0,0.122
1114.0,0.122
1115.0,0.121
1116.0,0.121
1117.0,0.120
1118.0,0.120
1119.0,0.119
1120.0,0.119
1121.0,0.118
1122.0,0.118
1123.0,0.118
1124.0,0.117
1125.0,0.117
1126.0,0.116
1127.0,0.116
1128.0,0.115
1129.0,0.115
1130.0,0.114
1131.0,0.114
1132.0,0.113
1133.0,0.113
1134.0,0.112
1135.0,0.112
1136.0,0.111
1137.0,0.111
1138.0,0.111
1139.0,0.110
1140.0,0.109
1141.0,0.109
1142.0,0.109
1143.0,0.108
1144.0,0.108
1145.0,0.108
1146.0,0.107
1147.0,0.107
1148.0,0.107
1149.0,0.106
1150.0,0.106
1151.0,0.106
1152.0,0.106
1153.0,0.106
1154.0,0.106
1155.0,0.106
1156.0,0.106
1157.0,0.106
1158.0,0.106
1159.0,0.106
1160.0,0.106
1161.0,0.106
1162.0,0.106
1163.0,0.105
1164.0,0.105
1165.0,0.105
1166.0,0.105
1167.0,0.104
1168.0,0.104
1169.0,0.104
1170.0,0.104
1171.0,0.104
1172.0,0.104
1173.0,0.104
1174.0,0.104
1175.0,0.104
1176.0,0.103
1177.0,0.103
1178.0,0.103
1179.0,0.103
1180.0,0.103
1181.0,0.102
1182.0,0.102
1183.0,0.102
1184.0,0.102
1185.0,0.101
1186.0,0.101
1187.0,0.101
1188.0,0.101
1189.0,0.101
1190.0,0.100
1191.0,0.100
1192.0,0.100
1193.0,0.099
1194.0,0.099
1195.0,0.099
1196.0,0.098
1197.0,0.098
1198.0,0.098
1199.0,0.098
