# Energy(eV)    mu(E)
6895.468629    1.382897e+00
6895.725993    1.382291e+00
6895.979355    1.381844e+00
6896.236759    1.381333e+00
6896.494184    1.380773e+00
6896.751628    1.380411e+00
6897.009092    1.380052e+00
6897.266577    1.379627e+00
6897.524081    1.379336e+00
6897.781606    1.378762e+00
6898.039150    1.378341e+00
6898.292691    1.377790e+00
6898.550275    1.377404e+00
6898.807880    1.376839e+00
6899.065504    1.376640e+00
6899.323149    1.376210e+00
6899.580814    1.375709e+00
6899.838499    1.375236e+00
6900.096205    1.374453e+00
6900.353930    1.374298e+00
6900.607648    1.373844e+00
6900.865413    1.373471e+00
6901.123198    1.373051e+00
6901.381004    1.372800e+00
6901.638829    1.372015e+00
6901.896675    1.371874e+00
6902.154541    1.371404e+00
6902.412427    1.370729e+00
6902.670333    1.370207e+00
6902.924229    1.369965e+00
6903.182175    1.369400e+00
6903.440141    1.368603e+00
6903.698127    1.368654e+00
6903.956134    1.368241e+00
6904.214161    1.367510e+00
6904.472207    1.367331e+00
6904.730274    1.366575e+00
6904.988361    1.366051e+00
6905.242435    1.366362e+00
6905.500563    1.365196e+00
6905.758710    1.365175e+00
6906.016877    1.364857e+00
6906.275065    1.364221e+00
6906.533272    1.363946e+00
6906.791500    1.363251e+00
6907.049748    1.363110e+00
6907.308017    1.362289e+00
6907.562269    1.361634e+00
6907.820577    1.361613e+00
6908.078906    1.361135e+00
6908.337255    1.360370e+00
6908.595623    1.359923e+00
6908.854012    1.359448e+00
6909.112422    1.358970e+00
6909.370851    1.358668e+00
6909.629301    1.358165e+00
6909.883732    1.357656e+00
6910.142221    1.357019e+00
6910.400731    1.356488e+00
6910.659261    1.356139e+00
6910.917812    1.356316e+00
6911.176382    1.355571e+00
6911.434973    1.355026e+00
6911.693584    1.354706e+00
6911.952215    1.354249e+00
6912.206825    1.353960e+00
6912.465496    1.353327e+00
6912.724188    1.352962e+00
6912.982899    1.352688e+00
6913.241631    1.351888e+00
6913.500383    1.351459e+00
6913.759156    1.351268e+00
6914.017948    1.350823e+00
6914.276761    1.350554e+00
6914.531550    1.349685e+00
6914.790403    1.349363e+00
6915.049276    1.349271e+00
6915.308170    1.348494e+00
6915.567084    1.348298e+00
6915.826018    1.347882e+00
6916.084972    1.347236e+00
6916.343947    1.346825e+00
6916.602942    1.346622e+00
6916.857909    1.345637e+00
6917.116944    1.345488e+00
6917.376000    1.345126e+00
6917.635075    1.344421e+00
6917.894171    1.344514e+00
6918.153287    1.343650e+00
6918.412424    1.343207e+00
6918.671580    1.343033e+00
6918.930757    1.342808e+00
6919.185904    1.342057e+00
6919.445121    1.341411e+00
6919.704359    1.341321e+00
6919.963617    1.340588e+00
6920.222895    1.339918e+00
6920.482193    1.340073e+00
6920.741512    1.339454e+00
6921.000851    1.338986e+00
6921.260210    1.338225e+00
6921.515536    1.337957e+00
6921.774936    1.337760e+00
6922.034356    1.337285e+00
6922.293796    1.336806e+00
6922.553256    1.336028e+00
6922.812737    1.336138e+00
6923.072238    1.335314e+00
6923.331760    1.335344e+00
6923.591301    1.334837e+00
6923.846808    1.334332e+00
6924.106390    1.334010e+00
6924.365992    1.333072e+00
6924.625615    1.333096e+00
6924.885258    1.332396e+00
6925.144921    1.331929e+00
6925.404605    1.331714e+00
6925.664309    1.331309e+00
6925.924033    1.330642e+00
6926.179720    1.330128e+00
6926.439484    1.329893e+00
6926.699269    1.328998e+00
6926.959075    1.329089e+00
6927.218901    1.328504e+00
6927.478747    1.328068e+00
6927.738614    1.327099e+00
