Summary
[Data Information]
Data is:,Measurement Data
Dataset Name:,RawData
Sample Name:,MD_P_amostra_P2_10-20_25_09_2025_Pt
Sample ID
Option
Analyst
Date/Time:,09/25/2025 04:36:56 PM
Comments
Parameter File Name:,Esfera de Integração.vspm
Report File Name
[Software Information]
Software Name:,LabSolutions UV-Vis
Version:,1.11
[Instrument Information]
Instrument Name:,UV-2600i
Instrument Type:,UV-2600 Series
Model (S/N):,UV-2600i (A12595900700)

Parameter
[Measurement]
Start:,1100 nm
End:,400 nm
Data Interval:,1.0
Scan Speed:,High speed
Spectrum Type:,Absorbance
[Accessories]
963.0,0.570
964.0,0.565
965.0,0.561
966.0,0.557
967.0,0.553
968.0,0.549
969.0,0.544
970.0,0.540
971.0,0.536
972.0,0.532
973.0,0.528
974.0,0.524
975.0,0.520
976.0,0.516
977.0,0.512
978.0,0.508
979.0,0.504
980.0,0.500
981.0,0.496
982.0,0.492
983.0,0.488
984.0,0.484
985.0,0.480
986.0,0.476
987.0,0.472
988.0,0.469
989.0,0.465
990.0,0.461
991.0,0.457
992.0,0.454
993.0,0.450
994.0,0.447
995.0,0.443
996.0,0.440
997.0,0.436
998.0,0.433
999.0,0.429
1000.0,0.426
1001.0,0.423
1002.0,0.420
1003.0,0.417
1004.0,0.414
1005.0,0.411
1006.0,0.408
1007.0,0.405
1008.0,0.402
1009.0,0.399
1010.0,0.396
1011.0,0.393
1012.0,0.390
1013.0,0.387
1014.0,0.384
1015.0,0.381
1016.0,0.379
1017.0,0.376
1018.0,0.373
1019.0,0.371
1020.0,0.368
1021.0,0.366
1022.0,0.363
1023.0,0.361
1024.0,0.359
1025.0,0.356
1026.0,0.354
1027.0,0.351
1028.0,0.349
1029.0,0.346
1030.0,0.344
1031.0,0.342
1032.0,0.340
1033.0,0.338
1034.0,0.336
1035.0,0.334
1036.0,0.332
1037.0,0.329
1038.0,0.327
1039.0,0.325
1040.0,0.324
1041.0,0.322
1042.0,0.320
1043.0,0.318
1044.0,0.316
1045.0,0.314
1046.0,0.312
1047.0,0.310
1048.0,0.308
1049.0,0.307
1050.0,0.305
1051.0,0.303
1052.0,0.301
1053.0,0.299
1054.0,0.298
1055.0,0.296
1056.0,0.295
1057.0,0.293
1058.0,0.292
1059.0,0.290
1060.0,0.288
1061.0,0.287
1062.0,0.285
1063.0,0.284
1064.0,0.282
1065.0,0.281
1066.0,0.279
1067.0,0.278
1068.0,0.277
1069.0,0.275
1070.0,0.274
1071.0,0.272
1072.0,0.271
1073.0,0.270
1074.0,0.268
1075.0,0.267
1076.0,0.266
1077.0,0.264
1078.0,0.263
1079.0,0.262
1080.0,0.260
1081.0,0.259
